
2024/11/23 (10:50:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (10:50:28) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (10:50:28) | DEBUG: Shared::init() : Initialized.
2024/11/23 (10:50:28) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (14:45:44) | ===> btop++ v.1.4.0
2024/11/23 (14:45:44) | INFO: Logger set to DEBUG
2024/11/23 (14:45:44) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (14:45:44) | INFO: Running on /dev/pts/0
2024/11/23 (14:45:44) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (14:45:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (14:45:44) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (14:45:44) | DEBUG: Shared::init() : Initialized.
2024/11/23 (14:45:44) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (15:26:27) | ===> btop++ v.1.4.0
2024/11/23 (15:26:27) | INFO: Logger set to DEBUG
2024/11/23 (15:26:27) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (15:26:27) | INFO: Running on /dev/pts/2
2024/11/23 (15:26:27) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (15:26:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (15:26:27) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (15:26:27) | DEBUG: Shared::init() : Initialized.
2024/11/23 (15:26:27) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (15:39:46) | ===> btop++ v.1.4.0
2024/11/23 (15:39:46) | INFO: Logger set to DEBUG
2024/11/23 (15:39:46) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (15:39:46) | INFO: Running on /dev/pts/2
2024/11/23 (15:39:46) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (15:39:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (15:39:46) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (15:39:46) | DEBUG: Shared::init() : Initialized.
2024/11/23 (15:39:46) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (19:35:13) | ===> btop++ v.1.4.0
2024/11/23 (19:35:13) | INFO: Logger set to DEBUG
